country,time,gross_inflows,gross_outflows,net_inflows,kopen,gdp_pc,gdpg,cpi,exchange_rate,reserves
Brazil,1998-03-31,5436492607,8879278978,-3442786371,-1,5105.890995,0.338097901,46.80089527,1.160516667,8712914.899
Brazil,1998-06-30,11602741407,1505566109,10097175298,-1,5105.890995,0.338097901,46.80089527,1.160516667,8712914.899
Brazil,1998-09-30,11523543894,11094860213,428683681,-1,5105.890995,0.338097901,46.80089527,1.160516667,8712914.899
Brazil,1998-12-31,5273805687,1666605100,3607200587,-1,5105.890995,0.338097901,46.80089527,1.160516667,8712914.899
Brazil,1999-03-31,-2168895240,5430960229,-7599855469,-1,3493.571625,0.467937566,49.0746922,1.813932847,10402627.55
Brazil,1999-06-30,1442055865,5487252777,-4045196912,-1,3493.571625,0.467937566,49.0746922,1.813932847,10402627.55
Brazil,1999-09-30,3503344224,2762515614,740828610,-1,3493.571625,0.467937566,49.0746922,1.813932847,10402627.55
Brazil,1999-12-31,14719400715,7174239190,7545161525,-1,3493.571625,0.467937566,49.0746922,1.813932847,10402627.55
Brazil,2000-03-31,5018051552,2185704521,2832347031,-1,3766.548115,4.387949447,52.53158274,1.829423122,8765399.058
Brazil,2000-06-30,13798539592,11584742681,2213796911,-1,3766.548115,4.387949447,52.53158274,1.829423122,8765399.058
Brazil,2000-09-30,6888579937,4668254165,2220325772,-1,3766.548115,4.387949447,52.53158274,1.829423122,8765399.058
Brazil,2000-12-31,2235549628,1719690804,515858824,-1,3766.548115,4.387949447,52.53158274,1.829423122,8765399.058
Brazil,2001-03-31,2336145598,1723496454,612649144,-1,3176.289357,1.389896401,56.1249316,2.349631709,11291932.66
Brazil,2001-06-30,-3682687981,5749562156,-9432250137,-1,3176.289357,1.389896401,56.1249316,2.349631709,11291932.66
Brazil,2001-09-30,1438847821,5069656001,-3630808180,-1,3176.289357,1.389896401,56.1249316,2.349631709,11291932.66
Brazil,2001-12-31,-744987310.6,1774262671,-2519249982,-1,3176.289357,1.389896401,56.1249316,2.349631709,11291932.66
Brazil,2002-03-31,4770721683,3039874698,1730846985,0,2855.940189,3.053461859,60.86758058,2.920363018,13246827.39
Brazil,2002-06-30,-7787350804,8239369188,-16026719992,0,2855.940189,3.053461859,60.86758058,2.920363018,13246827.39
Brazil,2002-09-30,-974579415.6,2217765388,-3192344804,0,2855.940189,3.053461859,60.86758058,2.920363018,13246827.39
Brazil,2002-12-31,987878502.8,2614540240,-1626661737,0,2855.940189,3.053461859,60.86758058,2.920363018,13246827.39
Brazil,2003-03-31,-623121429.1,2800592781,-3423714210,0,3090.60701,1.140828998,69.8241962,3.077475118,15950681.15
Brazil,2003-06-30,2668611577,2014442334,654169243,0,3090.60701,1.140828998,69.8241962,3.077475118,15950681.15
Brazil,2003-09-30,2136302258,863764982.2,1272537276,0,3090.60701,1.140828998,69.8241962,3.077475118,15950681.15
Brazil,2003-12-31,12014060815,4629901256,7384159559,0,3090.60701,1.140828998,69.8241962,3.077475118,15950681.15
Brazil,2004-03-31,6215904461,3056224071,3159680390,0,3663.823188,5.759964637,74.43062767,2.92511945,14447985.74
Brazil,2004-06-30,-7232545509,821757058.2,-8054302567,0,3663.823188,5.759964637,74.43062767,2.92511945,14447985.74
Brazil,2004-09-30,4552047241,4470568231,81479010,0,3663.823188,5.759964637,74.43062767,2.92511945,14447985.74
Brazil,2004-12-31,4967049213,2738736776,2228312437,0,3663.823188,5.759964637,74.43062767,2.92511945,14447985.74
Brazil,2005-03-31,6911693493,840130163,6071563330,0,4827.781731,3.202132061,79.54366733,2.434390036,11143686.27
Brazil,2005-06-30,6307886741,8550251544,-2242364803,0,4827.781731,3.202132061,79.54366733,2.434390036,11143686.27
Brazil,2005-09-30,11294068576,4475258450,6818810126,0,4827.781731,3.202132061,79.54366733,2.434390036,11143686.27
Brazil,2005-12-31,10460657309,11084402069,-623744760,0,4827.781731,3.202132061,79.54366733,2.434390036,11143686.27
Brazil,2006-03-31,9878668763,3135507070,6743161693,0,5934.144709,3.961988711,82.87143085,2.175326667,14465919.74
Brazil,2006-06-30,-14715194806,5634976988,-20350171794,0,5934.144709,3.961988711,82.87143085,2.175326667,14465919.74
Brazil,2006-09-30,5055054474,2485441088,2569613386,0,5934.144709,3.961988711,82.87143085,2.175326667,14465919.74
Brazil,2006-12-31,-6581395463,16216661029,-22798056492,0,5934.144709,3.961988711,82.87143085,2.175326667,14465919.74
Brazil,2007-03-31,2854836641,12931584642,-10076748001,0,7409.691307,6.069870607,85.88900587,1.947058333,24337535.14
Brazil,2007-06-30,10232076280,19717859028,-9485782748,0,7409.691307,6.069870607,85.88900587,1.947058333,24337535.14
Brazil,2007-09-30,19063091203,2719760636,16343330567,0,7409.691307,6.069870607,85.88900587,1.947058333,24337535.14
Brazil,2007-12-31,5670751736,3029405521,2641346215,0,7409.691307,6.069870607,85.88900587,1.947058333,24337535.14
Brazil,2008-03-31,-4633899240,12394375065,-17028274305,0,8908.331765,5.094195447,90.76629373,1.833766667,21753047.44
Brazil,2008-06-30,1687637297,9412343042,-7724705745,0,8908.331765,5.094195447,90.76629373,1.833766667,21753047.44
Brazil,2008-09-30,3126035457,8683373522,-5557338065,0,8908.331765,5.094195447,90.76629373,1.833766667,21753047.44
Brazil,2008-12-31,1318691577,22845232714,-21526541137,0,8908.331765,5.094195447,90.76629373,1.833766667,21753047.44
Brazil,2009-03-31,-2863770450,1909231500,-4773001950,0,8678.659224,-0.125812002,95.20298175,1.999428173,27485750.81
Brazil,2009-06-30,4487155385,14626693800,-10139538415,0,8678.659224,-0.125812002,95.20298175,1.999428173,27485750.81
Brazil,2009-09-30,29999739197,3424017300,26575721897,0,8678.659224,-0.125812002,95.20298175,1.999428173,27485750.81
Brazil,2009-12-31,34459065968,9044767100,25414298868,0,8678.659224,-0.125812002,95.20298175,1.999428173,27485750.81
Brazil,2010-03-31,-2454746855,11885913046,-14340659901,0,11403.28213,7.528225818,100,1.759226711,25306277.64
Brazil,2010-06-30,7490345823,13388240572,-5897894749,0,11403.28213,7.528225818,100,1.759226711,25306277.64
Brazil,2010-09-30,23911468213,8840988862,15070479351,0,11403.28213,7.528225818,100,1.759226711,25306277.64
Brazil,2010-12-31,38080481088,6018511325,32061969763,0,11403.28213,7.528225818,100,1.759226711,25306277.64
Brazil,2011-03-31,-4074072688,16582574715,-20656647403,0,13396.62436,3.974423079,106.6364496,1.672828755,26276038.9
Brazil,2011-06-30,4380664049,20773908513,-16393244464,0,13396.62436,3.974423079,106.6364496,1.672828755,26276038.9
Brazil,2011-09-30,1796973445,14004708588,-12207735143,0,13396.62436,3.974423079,106.6364496,1.672828755,26276038.9
Brazil,2011-12-31,2270897369,2859341422,-588444053,0,13396.62436,3.974423079,106.6364496,1.672828755,26276038.9
Brazil,2012-03-31,6623290407,7841105055,-1217814648,0,12521.72135,1.921175986,112.3985493,1.953068611,29801092.6
Brazil,2012-06-30,-9632240586,9940119708,-19572360294,0,12521.72135,1.921175986,112.3985493,1.953068611,29801092.6
Brazil,2012-09-30,8535473269,2283329483,6252143786,0,12521.72135,1.921175986,112.3985493,1.953068611,29801092.6
Brazil,2012-12-31,11183643648,2340762245,8842881403,0,12521.72135,1.921175986,112.3985493,1.953068611,29801092.6
Brazil,2013-03-31,-5400617925,12109220729,-17509838654,0,12458.89121,3.004822669,119.3721044,2.156089151,28800028.53
Brazil,2013-06-30,18754033817,7373683067,11380350750,0,12458.89121,3.004822669,119.3721044,2.156089151,28800028.53
Brazil,2013-09-30,32639416994,7733638207,24905778787,0,12458.89121,3.004822669,119.3721044,2.156089151,28800028.53
Brazil,2013-12-31,3444009720,6334662110,-2890652390,0,12458.89121,3.004822669,119.3721044,2.156089151,28800028.53
Brazil,2014-03-31,9930555529,11720887699,-1790332170,0,12274.99397,0.50395574,126.9272129,2.352951963,29618770.24
Brazil,2014-06-30,22099562462,8990275793,13109286669,0,12274.99397,0.50395574,126.9272129,2.352951963,29618770.24
Brazil,2014-09-30,9114836885,17967167442,-8852330557,0,12274.99397,0.50395574,126.9272129,2.352951963,29618770.24
Brazil,2014-12-31,-8148228451,22596945183,-30745173634,0,12274.99397,0.50395574,126.9272129,2.352951963,29618770.24
Brazil,2015-03-31,10844816116,15147238696,-4302422580,-1,8936.196617,-3.545763393,138.3886146,3.326904383,39890010.89
Brazil,2015-06-30,11819906897,11282444106,537462791,-1,8936.196617,-3.545763393,138.3886146,3.326904383,39890010.89
Brazil,2015-09-30,-9337003155,19081381220,-28418384375,-1,8936.196617,-3.545763393,138.3886146,3.326904383,39890010.89
Brazil,2015-12-31,13386854223,20227193724,-6840339501,-1,8936.196617,-3.545763393,138.3886146,3.326904383,39890010.89
Brazil,2016-03-31,-1037568545,12796335205,-13833903750,-1,8836.286527,-3.275916908,150.4825942,3.491313422,41305138.53
Brazil,2016-06-30,-834240204,14215489367,-15049729571,-1,8836.286527,-3.275916908,150.4825942,3.491313422,41305138.53
Brazil,2016-09-30,-15749497773,7914483847,-23663981620,-1,8836.286527,-3.275916908,150.4825942,3.491313422,41305138.53
