date,macro_usuncertainty,real_usuncertainty,finan_usuncertainty
1998-01-01,0.694681359,0.67736094,0.938168585
1998-02-01,0.694968613,0.677787626,0.961476523
1998-03-01,0.69837145,0.684872442,0.970187942
1998-04-01,0.707401018,0.695048911,0.98892272
1998-05-01,0.716948996,0.70547271,1.027268646
1998-06-01,0.732688154,0.727606529,1.073775572
1998-07-01,0.746279698,0.743165066,1.143390122
1998-08-01,0.765766484,0.759723334,1.216497447
1998-09-01,0.759545509,0.734612832,1.155156499
1998-10-01,0.748675206,0.712560461,1.106831608
1998-11-01,0.739970649,0.697240642,1.072898152
1998-12-01,0.735366909,0.692256212,1.051339756
1999-01-01,0.734892076,0.68771852,1.0396386
1999-02-01,0.737985476,0.68404116,1.040319509
1999-03-01,0.73771918,0.675880426,1.03097621
1999-04-01,0.739595889,0.671317723,1.035351891
1999-05-01,0.736370563,0.666699587,1.018526035
1999-06-01,0.730125288,0.666535568,1.0146095
1999-07-01,0.726238514,0.668250589,1.013121271
1999-08-01,0.725889763,0.671735784,1.022103259
1999-09-01,0.729063539,0.675537005,1.036296748
1999-10-01,0.738811236,0.683793604,1.056483245
1999-11-01,0.74328127,0.682618739,1.083458007
1999-12-01,0.755759635,0.688343103,1.11702304
2000-01-01,0.771086041,0.700599958,1.148413034
2000-02-01,0.780197046,0.701189886,1.185276939
2000-03-01,0.788284972,0.703154931,1.18881871
2000-04-01,0.805078248,0.70922808,1.16888883
2000-05-01,0.815572806,0.718731118,1.151961039
2000-06-01,0.819439221,0.720274961,1.142674185
2000-07-01,0.810790429,0.718122239,1.121650992
2000-08-01,0.806878057,0.717153745,1.11657593
2000-09-01,0.812350505,0.723043262,1.110330638
2000-10-01,0.812420302,0.723068066,1.112368805
2000-11-01,0.812538512,0.722834851,1.127833777
2000-12-01,0.826119309,0.734946044,1.135598081
2001-01-01,0.832214587,0.735941051,1.127003874
2001-02-01,0.82844851,0.73160352,1.11193613
2001-03-01,0.822943497,0.72679514,1.095924456
2001-04-01,0.822734827,0.731234138,1.085737116
2001-05-01,0.820263173,0.725755337,1.07327749
2001-06-01,0.824740064,0.727356778,1.07378874
2001-07-01,0.833898471,0.726764854,1.089278909
2001-08-01,0.851661942,0.731799766,1.115615083
2001-09-01,0.88565946,0.738238644,1.15600129
2001-10-01,0.886213409,0.737204066,1.120559812
2001-11-01,0.860913326,0.720367415,1.091893668
2001-12-01,0.832201729,0.705664383,1.064131436
2002-01-01,0.812339235,0.697848638,1.049921047
2002-02-01,0.786098571,0.685600658,1.049119577
2002-03-01,0.771778171,0.677108999,1.060121216
2002-04-01,0.753522897,0.670646495,1.067539345
2002-05-01,0.738325338,0.664582113,1.086588746
2002-06-01,0.735478608,0.665662467,1.124187321
2002-07-01,0.736840603,0.67062713,1.161378084
2002-08-01,0.734808924,0.673177772,1.136187982
2002-09-01,0.734992024,0.674696703,1.137363163
2002-10-01,0.736032385,0.675237576,1.100371954
2002-11-01,0.745601173,0.68343745,1.074768209
2002-12-01,0.759605722,0.698125274,1.044462765
2003-01-01,0.775864781,0.707923652,1.011102387
2003-02-01,0.785391193,0.709043852,0.990502067
2003-03-01,0.788991213,0.696899357,0.981027381
2003-04-01,0.80232325,0.694626985,0.990673434
2003-05-01,0.78748904,0.682602755,0.976965147
2003-06-01,0.774901489,0.673359497,0.940096852
2003-07-01,0.771705962,0.672152657,0.921757049
2003-08-01,0.765147905,0.666554946,0.903189482
2003-09-01,0.762428399,0.661860208,0.892760151
2003-10-01,0.754181207,0.659932467,0.891193915
2003-11-01,0.740123176,0.660460776,0.859601077
2003-12-01,0.728124435,0.656179452,0.84182185
2004-01-01,0.725331225,0.656714682,0.825910074
2004-02-01,0.724244407,0.660851502,0.813252004
2004-03-01,0.727865522,0.672707063,0.809854743
2004-04-01,0.731360467,0.67544472,0.815770532
2004-05-01,0.740178041,0.685597969,0.811229233
2004-06-01,0.745715947,0.697788326,0.81844088
2004-07-01,0.738769534,0.691621637,0.832058017
2004-08-01,0.731587302,0.685228675,0.818069348
2004-09-01,0.736001451,0.686838192,0.81653959
2004-10-01,0.747156182,0.693546487,0.819576726
2004-11-01,0.755930678,0.703311543,0.835373649
2004-12-01,0.769598476,0.717160841,0.822448847
2005-01-01,0.77457564,0.721818038,0.819054825
2005-02-01,0.769219971,0.714836127,0.814292605
